"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4765","login screen","chromium","2026-06-10","passed","2026-06-10","","visual-tour.spec.ts","",""
"","3460","creates a customer","chromium","2026-06-10","passed","2026-06-10","Customers — manager","customers.spec.ts","",""
"","2858","shows an error when delete is blocked","chromium","2026-06-10","passed","2026-06-10","Customers — manager","customers.spec.ts","",""
"","3697","shows carton price by default, toggles to piece","chromium","2026-06-10","passed","2026-06-10","Inventory view — manager","inventory.spec.ts","",""
"","4039","rejects quantity over godam stock","chromium","2026-06-10","passed","2026-06-10","POS terminal","pos.spec.ts","",""
"","69","returns 401 for /api/inventory when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","183","cashier cannot create a customer (403)","chromium","2026-06-10","passed","2026-06-10","Backend — real DB","backend.spec.ts","",""
"","2487","hides write controls for cashier","chromium","2026-06-10","passed","2026-06-10","Customers — cashier (read-only)","customers.spec.ts","",""
"","3705","renders the table (smoke)","chromium","2026-06-10","passed","2026-06-10","Inventory view — manager","inventory.spec.ts","",""
"","2304","filters the list by search text","chromium","2026-06-10","passed","2026-06-10","Customers — manager","customers.spec.ts","",""
"","3200","adjusts a pending expense","chromium","2026-06-10","passed","2026-06-10","Supplier expenses","expenses.spec.ts","",""
"","3581","renders an empty cart (smoke)","chromium","2026-06-10","passed","2026-06-10","POS terminal","pos.spec.ts","",""
"","2468","records a customer payment","chromium","2026-06-10","passed","2026-06-10","Payments","payments.spec.ts","",""
"","2496","shows stock for a selected godam","chromium","2026-06-10","passed","2026-06-10","Warehouse","warehouse.spec.ts","",""
"","2765","requires a group","chromium","2026-06-10","passed","2026-06-10","Purchases — new","purchases.spec.ts","",""
"","4990","creates the invoice with per-piece price payload","chromium","2026-06-10","passed","2026-06-10","Sale invoice — create","sale-invoices.spec.ts","",""
"","2914","renders the login form (smoke)","chromium","2026-06-10","passed","2026-06-10","Login page","login.spec.ts","",""
"","2813","shows an error when credentials are rejected (401)","chromium","2026-06-10","passed","2026-06-10","Login page","login.spec.ts","",""
"","135","returns 401 for /api/customers when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","1444","treats an invalid token as logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","3209","redirects /inventory/view to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","3516","renders groups + net positions (smoke)","chromium","2026-06-10","passed","2026-06-10","Groups — manager","groups.spec.ts","",""
"","2658","redirects /expenses to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","3004","blocks submit when fields are empty (HTML required)","chromium","2026-06-10","passed","2026-06-10","Login page","login.spec.ts","",""
"","4654","renders the supplier list (smoke)","chromium","2026-06-10","passed","2026-06-10","Vendors — manager","vendors.spec.ts","",""
"","3003","requires a customer","chromium","2026-06-10","passed","2026-06-10","Sale invoice — create","sale-invoices.spec.ts","",""
"","5375","renames a supplier","chromium","2026-06-10","passed","2026-06-10","Vendors — manager","vendors.spec.ts","",""
"","4677","filters by search","chromium","2026-06-10","passed","2026-06-10","Vendors — manager","vendors.spec.ts","",""
"","3186","disables submit until name and group are provided","chromium","2026-06-10","passed","2026-06-10","Customers — manager","customers.spec.ts","",""
"","5244","creates a supplier","chromium","2026-06-10","passed","2026-06-10","Vendors — manager","vendors.spec.ts","",""
"","3731","reverts an adjusted expense","chromium","2026-06-10","passed","2026-06-10","Supplier expenses","expenses.spec.ts","",""
"","3686","records a cash purchase","chromium","2026-06-10","passed","2026-06-10","Purchases — new","purchases.spec.ts","",""
"","2324","redirects /payments to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","3270","redirects / to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","3276","deletes a customer after confirm","chromium","2026-06-10","passed","2026-06-10","Customers — manager","customers.spec.ts","",""
"","2917","registers a new godam","chromium","2026-06-10","passed","2026-06-10","Warehouse","warehouse.spec.ts","",""
"","95","returns 401 for /api/sale-invoices when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","3223","renames a customer","chromium","2026-06-10","passed","2026-06-10","Customers — manager","customers.spec.ts","",""
"","8227","customer lifecycle","chromium","2026-06-10","passed","2026-06-10","Backend — real DB","backend.spec.ts","",""
"","4243","requires a manager passcode for a below-cost sale","chromium","2026-06-10","passed","2026-06-10","POS terminal","pos.spec.ts","",""
"","4148","records a new expense","chromium","2026-06-10","passed","2026-06-10","Supplier expenses","expenses.spec.ts","",""
"","3502","registers a product with per-piece conversion","chromium","2026-06-10","passed","2026-06-10","Inventory add — manager","inventory.spec.ts","",""
"","3563","blocks checkout with empty cart","chromium","2026-06-10","passed","2026-06-10","POS terminal","pos.spec.ts","",""
"","3086","disables product entry until a customer is selected","chromium","2026-06-10","passed","2026-06-10","Sale invoice — create","sale-invoices.spec.ts","",""
"","6342","computes balance from an opening receivable","chromium","2026-06-10","passed","2026-06-10","Backend — real DB","backend.spec.ts","",""
"","1229","validates required fields (400)","chromium","2026-06-10","passed","2026-06-10","Backend — real DB","backend.spec.ts","",""
"","4315","Groups — cashier hides New Group","chromium","2026-06-10","passed","2026-06-10","","groups.spec.ts","",""
"","3975","adjusts sale price, sends per-piece value","chromium","2026-06-10","passed","2026-06-10","Inventory view — manager","inventory.spec.ts","",""
"","3293","redirects /customers to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","3491","shows an error when the report fails","chromium","2026-06-10","passed","2026-06-10","Revenue report","reports.spec.ts","",""
"","2887","hides manager actions","chromium","2026-06-10","passed","2026-06-10","Inventory view — cashier","inventory.spec.ts","",""
"","3242","redirects /vendors to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","3289","records a purchase with per-piece cost","chromium","2026-06-10","passed","2026-06-10","Purchases — new","purchases.spec.ts","",""
"","2783","nothing loads until Load Report is clicked (smoke)","chromium","2026-06-10","passed","2026-06-10","Revenue report","reports.spec.ts","",""
"","13120","app pages tour","chromium","2026-06-10","passed","2026-06-10","","visual-tour.spec.ts","",""
"","3385","adds a line and computes totals","chromium","2026-06-10","passed","2026-06-10","Sale invoice — create","sale-invoices.spec.ts","",""
"","2489","renders pending/adjusted state (smoke)","chromium","2026-06-10","passed","2026-06-10","Supplier expenses","expenses.spec.ts","",""
"","2307","redirects /warehouse to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","109","returns 401 for /api/vendors when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","2585","sends the right credentials and shows the success toast","chromium","2026-06-10","passed","2026-06-10","Login page","login.spec.ts","",""
"","2284","redirects /groups to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","3278","redirects /sales/new to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","1447","renders the customer list (smoke)","chromium","2026-06-10","passed","2026-06-10","Customers — manager","customers.spec.ts","",""
"","2647","redirects /purchases to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","4230","creates a group","chromium","2026-06-10","passed","2026-06-10","Groups — manager","groups.spec.ts","",""
"","3632","loads and displays revenue totals","chromium","2026-06-10","passed","2026-06-10","Revenue report","reports.spec.ts","",""
"","2301","requires a party","chromium","2026-06-10","passed","2026-06-10","Payments","payments.spec.ts","",""
"","3504","records a vendor payment","chromium","2026-06-10","passed","2026-06-10","Payments","payments.spec.ts","",""
"","2378","redirects /reports/revenue to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","3522","validates required fields with toasts","chromium","2026-06-10","passed","2026-06-10","Inventory add — manager","inventory.spec.ts","",""
"","3247","redirects /sales to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","4425","hides write controls","chromium","2026-06-10","passed","2026-06-10","Vendors — cashier","vendors.spec.ts","",""
"","2718","renders godam management (smoke)","chromium","2026-06-10","passed","2026-06-10","Warehouse","warehouse.spec.ts","",""
"","3816","adds a product as a godam-tied line","chromium","2026-06-10","passed","2026-06-10","POS terminal","pos.spec.ts","",""
"","1473","allows /login while logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","152","/api/me returns 401 without a token","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","4534","completes a sale","chromium","2026-06-10","passed","2026-06-10","POS terminal","pos.spec.ts","",""
